DAQ: Crosshead, … - (Timed)   
Test: Fu_MTS EM Tension (Simplified)
Test Run: Test Run 55
Date: 10/23/2024 3:53:24 PM


Crosshead 	Load 	Time 
mm	N	sec
0.0859430583659559	30.8422775268555	0.115000002086163
0.172124360688031	66.6383056640625	0.215000003576279
0.258543877862394	101.33869934082	0.314999997615814
0.34359356504865	134.680480957031	0.41499999165535
0.428464583819732	166.798721313477	0.514999985694885
0.513514271005988	197.940414428711	0.615000009536743
0.597730104345828	227.69499206543	0.714999973773956
0.683732738252729	257.329010009766	0.814999997615814
0.768305966630578	285.0009765625	0.915000021457672
0.852343160659075	311.164337158203	1.01499998569489
0.936261203605682	336.046295166016	1.11500000953674
1.02220429107547	360.078002929688	1.2150000333786
1.10725394915789	381.141235351563	1.31500005722046
1.19170802645385	398.522003173828	1.41499996185303
1.27538782544434	409.588073730469	1.51499998569489
1.35954422876239	412.443634033203	1.61500000953674
1.44584465306252	408.230133056641	1.7150000333786
1.53065600898117	401.326141357422	1.81500005722046
1.61522929556668	394.999694824219	1.91499996185303
1.69890909455717	390.127105712891	2.01500010490417
1.78348226472735	385.584045410156	2.11500000953674
1.86936580576003	379.828521728516	2.21499991416931
1.95352220907807	367.70361328125	2.31500005722046
2.03821435570717	-16.7542533874512	2.41499996185303
2.04935180954635	8.35885238647461	2.42799997329712
