DAQ: Crosshead, … - (Timed)   
Test: Fu_MTS EM Tension (Simplified)
Test Run: Test Run 42
Date: 10/11/2024 11:35:08 AM


Crosshead 	Load 	Time 
mm	N	sec
0.0898143698577769	62.7977409362793	0.11599999666214
0.175936103914864	118.520065307617	0.216000005602837
0.261462264461443	170.964660644531	0.316000014543533
0.346869288478047	221.538604736328	0.416000008583069
0.432335888035595	269.328277587891	0.515999972820282
0.517147360369563	314.038299560547	0.61599999666214
0.601839681621641	355.277618408203	0.716000020503998
0.686472456436604	393.869750976563	0.815999984741211
0.770986080169678	428.723693847656	0.916000008583069
0.85585709894076	459.414398193359	1.01600003242493
0.940728117711842	485.234007470703	1.11600005626678
1.02553959004581	481.623809814453	1.21599996089935
1.11005315557122	479.049682617188	1.31599998474121
1.19420955888927	476.550201416016	1.41600000858307
1.27937830984592	472.956726074219	1.51600003242493
1.36442796792835	461.775146484375	1.61600005626678
1.44906074274331	448.180084228516	1.71599996089935
1.53363402932882	434.503295898438	1.81599998474121
1.61671824753284	416.620727539063	1.91600000858307
1.70325685758144	386.409851074219	2.01600003242493
1.7878896323964	318.494812011719	2.1159999370575
1.87252240721136	278.180603027344	2.21600008010864
1.95691687986255	244.55989074707	2.31599998474121
2.04071588814259	195.451675415039	2.41599988937378
2.12665903382003	131.130126953125	2.51600003242493
2.211291808635	110.129684448242	2.6159999370575
2.29586497880518	89.2708129882813	2.71600008010864
2.37966398708522	76.2861557006836	2.81599998474121
2.46465392410755	71.0624160766602	2.91599988937378
2.55000148899853	68.123176574707	3.01600003242493
2.63457465916872	68.050407409668	3.1159999370575
2.71914782933891	68.27490234375	3.21600008010864
2.80264904722571	68.122688293457	3.31599998474121
2.88859219290316	67.6455001831055	3.41599988937378
2.97346315346658	64.1679229736328	3.51600003242493
3.05803632363677	53.7368431091309	3.6159999370575
3.10014421120286	49.1337547302246	3.66599988937378
