wear_state,cumulative_hours,Head_mean,Head_std,Head_var,Head_min,Head_max,Head_range,Head_median,Head_iqr,Head_mad,Head_skewness,Head_kurtosis,Head_rms,Head_peak,Head_peak_to_peak,Head_abs_mean,Head_crest_factor,Head_shape_factor,Head_impulse_factor,Head_clearance_factor,Head_peak_freq,Head_peak_ampl,Head_spectral_centroid,Head_spectral_spread,Head_spectral_skewness,Head_spectral_kurtosis,Head_band_power_0_100,Head_band_power_100_500,Motor_mean,Motor_std,Motor_var,Motor_min,Motor_max,Motor_range,Motor_median,Motor_iqr,Motor_mad,Motor_skewness,Motor_kurtosis,Motor_rms,Motor_peak,Motor_peak_to_peak,Motor_abs_mean,Motor_crest_factor,Motor_shape_factor,Motor_impulse_factor,Motor_clearance_factor,Motor_peak_freq,Motor_peak_ampl,Motor_spectral_centroid,Motor_spectral_spread,Motor_spectral_skewness,Motor_spectral_kurtosis,Motor_band_power_0_100,Motor_band_power_100_500,Frame_mean,Frame_std,Frame_var,Frame_min,Frame_max,Frame_range,Frame_median,Frame_iqr,Frame_mad,Frame_skewness,Frame_kurtosis,Frame_rms,Frame_peak,Frame_peak_to_peak,Frame_abs_mean,Frame_crest_factor,Frame_shape_factor,Frame_impulse_factor,Frame_clearance_factor,Frame_peak_freq,Frame_peak_ampl,Frame_spectral_centroid,Frame_spectral_spread,Frame_spectral_skewness,Frame_spectral_kurtosis,Frame_band_power_0_100,Frame_band_power_100_500
1,179,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,241,1.1154459644323922,0.9805809779113824,0.9615390542416431,0.941713886,0.9309279196705836,0.9363002832647228,1.4295774647887323,0.9872069187377492,0.9908303661602091,4.688086159139129,0.8599357441268608,0.9805929277418312,0.934540144,0.9363002832647228,0.9909090106777815,0.9530357784038836,0.9895892732582294,0.943113983,0.946702943,0.8923741241649015,0.795767057,0.9846914211630038,1.002038451351964,1.0560394899264525,0.8663761594686893,1.0078823717990795,0.9664043488054274,0.9079771205972077,1.0300074017946372,1.0609152477517394,1.0038910322983878,1.0637005360352068,1.0323217493031955,1.0881945319390198,1.0471530808000271,1.0351999199898165,0.9992225205280404,1.2354442324055628,1.0299918490818605,1.0038910322983878,1.0323217493031955,1.035161438167409,0.9746592006465619,0.9950060068945454,0.9697917593181599,0.9664598307620254,1.0001791922015553,1.4850427069707657,0.9981198913550522,0.9934336445846962,1.033290146905039,0.9457083687958525,1.0215650459225427,1.0001462019391443,1.9135305641465428,0.9826024738333728,0.965507622,0.9321888034950891,0.7158925615222931,0.8202088350938487,2.666666666666667,1.0054636739515652,1.0081851211182353,-4.58228108,0.12040413794748712,0.982863613,0.868391585,0.8202088350938487,1.0084265689144012,0.8835321333709343,0.9746506523046772,0.86113517,0.8602751743988913,0.9989408505784585,0.5437032502282773,0.9775172749255692,0.9996973006809456,1.1433344188520802,0.997438731,0.9564149892637438,0.9476733487104461
3,287,1.2260651181701399,1.0094102132804827,1.0189089786749495,0.9087482243082124,0.9505841393179113,0.9297461603399862,1.2957746478873238,1.075935541,1.0301425642884656,0.39363116366385353,0.9005950593681435,1.0094301025216466,0.9505841393179113,0.9297461603399862,1.030179395522008,0.9417037761637802,0.9798585633822791,0.9227365092433972,0.9085997786593053,1.7696350008147301,0.7869318087818175,1.0233650897595696,0.9789447889932322,0.9819172860322937,0.8270367402753178,0.8585095252996825,0.9883942344406402,0.9586054106083107,1.0649725873663423,1.1341666118417613,1.0786923687833947,1.1316968742949465,1.1038882992296628,1.1994456343706692,1.0450752139478021,1.0570554100290914,1.0306719787054512,0.41579864570316477,1.064958896931411,1.0786923687833947,1.1038882992296628,1.057099989836492,1.012895776439855,1.0074344027726658,1.0204260516081884,1.0238524404135234,0.9766213907704069,1.1674275543030384,0.9471787355050146,0.9986612780493191,1.062877373568417,0.9819581551652662,1.538172906,1.0209037487919046,0.9027093231325236,0.9591155854974686,0.9199027063441518,0.701429864,0.6777292089060843,0.6891596616805996,1.7555555555555555,0.9905493207324276,0.9848001406735177,18.476524130649846,0.10646721596805994,0.9591051630234217,0.6777292089060843,0.6891596616805996,0.9848929294711692,0.7066265880257833,0.9738166802941631,0.6881247581598051,0.6863950053619436,1.0001086307099016,0.658304253,0.9819290735533961,0.982373712,1.1832943838036722,0.805129672,1.0714936570293832,0.9125339566246072
4,361,1.0926541113479915,0.9709607889383037,0.9427648536556934,0.9330506471065442,0.9387419800544466,0.9359071938116389,1.2957746478873238,0.9983391438361289,0.9929105220544628,0.8543383980755881,0.9383420294757084,0.9709715101307901,0.9387419800544466,0.9359071938116389,0.9929398569800721,0.966806925,0.9778754506680492,0.945416758,0.9251134202698719,1.7881836945304437,0.8348018434100153,1.028818120412151,0.9926098044949628,1.009596347768125,0.9648452260267028,0.7882689917411638,0.9179714819336922,0.9094147874492525,1.0048556795374421,1.0097349366986548,1.0217178813611094,1.4038144856577517,1.2033492233140164,1.5494519339800934,1.0112929647294184,1.0099199311239313,1.4498837583380024,1.1681199992373665,1.0048433637535041,1.2719246511933908,1.2033492233140164,1.010122492,1.265793950653436,0.9947737742227306,1.259178625679775,1.2537900577390138,0.9787358587487606,1.2581663755461672,1.0386505869191567,0.9833915495632299,0.6647878174476799,1.1270517025182418,0.7976759519144081,0.9253961967548007,1.3878762016999713,0.9501452153166384,0.90277593,0.532937181,0.5392012797381002,0.5361802033267624,2.311111111111111,0.9818369757826343,0.9789044826942565,4.2465071500195615,0.061676077,0.9502477369724984,0.5392012797381002,0.5361802033267624,0.979096037,0.5674323218649199,0.9705357807504401,0.5507133715251342,0.5499127918706815,0.9901146053989462,0.6486338996822342,0.9929403721600801,0.9901170315423282,1.1189490651606788,0.7767130434329844,1.0818591309292698,0.8684057580140565
5,446,1.2560658518700256,0.9821336865970581,0.9645865783487284,0.9646977653681341,0.9120316283396489,0.938264014,1.6443661971830985,1.046444122,1.0073186469142832,5.4505432590132195,0.9372819866581883,0.9821595637971058,0.9573489377419663,0.938264014,1.0074405100829176,0.974738701,0.9749057676034978,0.9502783818602931,0.9386363054239052,2.671215578,0.9280615749879904,1.0251963603025744,0.9999022216130942,0.9714002910800014,1.0492598906720891,0.8807536630276123,0.9234504281070707,0.8198762137405999,1.085294754394054,1.1778647039152508,2.1395437905609573,2.473972339857213,2.2985159078553705,0.9622023434547058,1.0868983246594475,1.0854750604242898,0.9467146888806743,0.7911012189090517,1.085263193512535,2.2415400593053474,2.2985159078553705,1.0853143787518889,2.0654345164436254,0.9999528383299764,2.0653371071013265,2.066711883378593,1.000167246054785,1.3364995541027127,1.0222858744334409,0.9822810055363008,0.7493288624888907,1.0644488634417268,0.9966442064795227,1.0419452555038697,0.9931497537433192,0.9229602686115265,0.8518556574354609,0.6393792542984763,0.5749204813898551,0.6060079331527396,1.0888888888888888,0.9458308722189407,0.9465987857904522,-14.18429329,0.10474012267144552,0.9229741387079888,0.5956213612097989,0.6060079331527396,0.9466128549051648,0.6453283317796624,0.975028106,0.6292132608616098,0.6283373621032975,0.9952881429580142,0.49928246479954014,0.99647409,0.9979600497497282,1.1252582154336248,0.7721790901335971,1.1551075471859773,0.8608399458501967
6,490,1.5496762003637512,0.991720635,0.9835098182323755,0.9305183262420537,0.8693402098523919,0.8998123126602611,2.044014084507042,1.0281747041132374,1.0026605938724318,-11.39383305,0.8655278547019496,0.9917799033497734,0.9234298690816564,0.8998123126602611,1.0028561649998529,0.9310834651545556,0.988955284,0.9207999125994731,0.9066317329983663,1.7782168268969638,0.7105147349368666,1.007638655617323,0.9812000624747497,0.9477136712478098,0.8630174342117795,0.9817495987093584,0.9841487243470856,0.9633334332877527,1.1836023324245868,1.400914481320922,1.8510904758995663,1.790301834241421,1.8221943212734668,1.2991054554617616,1.143208516354745,1.1709656573708769,1.2657950014362467,0.47769149311850423,1.1835752681315335,1.8510904758995663,1.8221943212734668,1.1709726378461904,1.5639820514532226,1.010762531829988,1.5808144580617354,1.5924154304645102,0.9851628857112137,1.3090337356219914,1.1051646297164366,0.8999195434286419,0.43636179186529533,0.7761066762454808,0.7118491617773246,1.3067556188959457,0.8913670456030564,0.7452606624897814,0.5554134550547077,0.5494781526984907,0.42857089711872914,0.48688256372378613,1.222222222222222,0.7854892695412482,0.7702839562501924,3.084954807795882,0.1078177055617461,0.7452912029265798,0.5118729190305239,0.48688256372378613,0.7703353894085965,0.6868092861084162,0.9674892432106496,0.6644805964543956,0.6592315217661908,0.9910243875943728,0.5980202315741486,1.031803010533911,1.109770205723649,0.8832740685780879,1.450600407970474,1.2235305540357266,0.6140970499146241
7,563,1.6464967730832585,0.987581999,0.9753182040778609,0.884513348,0.8428049631321906,0.8635794210633464,2.156690141,1.044783265751949,1.0070754350028808,-14.22099397,0.8751795278134405,0.9876548471581464,0.877775346,0.8635794210633464,1.007263715999343,0.8887470641079834,0.9805325372793721,0.8714454137695348,0.8507131323822705,0.9866384226820922,0.7971125780045131,1.0105076536052318,0.9786139776831725,0.9310937468205477,0.8383637548831684,0.9615152741227316,0.9791117190226303,0.86946464,1.1097418373419548,1.2315269455470979,1.276851882310371,1.2843968890767592,1.2804384352621971,0.9506110621141489,1.0535558100539764,1.091076762316781,0.9408478413183674,0.16427748344980847,1.109712809638044,1.276851882310371,1.2804384352621971,1.0909347515342318,1.1506147096993145,1.0172128150452795,1.1704200278849055,1.1814288207035286,0.9791539738857231,1.0426841707828585,1.1077100139225986,0.94196309,0.36541914452825847,0.8583350467698092,0.8383497824630789,1.1717459952781393,1.0485230720272078,0.8068897201197117,0.6510710204348668,0.5500771738978509,0.45599970238648835,0.5013717863653392,1.1555555555555554,0.8898651309312855,0.8464214233570373,0.41440505204452227,0.057057137332394176,0.8069426063073629,0.5124309443648741,0.5013717863653392,0.8464449599564163,0.6350277459085358,0.9533314562388103,0.6053919257637008,0.5958686625776702,0.9866384226820922,0.8477821631358433,1.0125490638407417,1.1105432965648903,1.2025941205239863,1.213993774985942,1.116452921220346,0.6604364143442324
8,628,1.9246767835447187,0.9770506091979287,0.9546278929340435,0.9571966091437873,0.7965382563372959,0.8765602990638289,2.545774647887324,1.0214863914533239,0.9986281956795384,-13.18131316,0.8741743812969622,0.9771672639545028,0.9499049234599651,0.8765602990638289,0.9989371065163218,0.9721006408007397,0.9782069937938745,0.9509156455030784,0.9238960846357235,1.7696757373309435,0.8051921395838949,1.025186416,0.9758542120433502,0.9367756685703712,0.958128886,0.7921613645486955,0.9693036107913375,0.8054866277024788,1.1192752560986685,1.2527770989147402,1.5529683219218318,1.9776911327277114,1.754862223142666,0.9242786947209273,1.0821868823782395,1.1068822847818343,0.7549555612876475,0.33486343669430074,1.1192387042201912,1.7918849889801078,1.754862223142666,1.1066865160663928,1.6009855468945369,1.0113421352591916,1.6191441415141716,1.6296274114011786,0.9902399980886164,1.1250081011912907,1.1045869821530572,0.9567445739569463,0.3372745178245933,0.900571878,0.9335727007201285,1.155704670178838,1.8089221071906356,0.8646483332121608,0.7476167401265679,0.5099128024807466,0.4412585331374044,0.4743694068047152,2.111111111111111,0.9217611734593424,0.8931741842444746,-1.873040839,0.11398544218318882,0.8649262108006739,0.4750153456966946,0.4743694068047152,0.8933143083415267,0.5491975381975951,0.9682216020944872,0.5317449203026997,0.5268519035085247,1.0006110477431969,0.5818349290208438,1.027806925138407,1.0945422559529967,1.182386994,1.2480472720151077,0.9753070288013258,0.7294879709371523
9,701,1.684991759396668,0.9667490797625033,0.934603783,0.8444669754067118,0.8460293574467502,0.8452511532626595,1.9313380281690142,1.0432271482650786,1.0026732053322438,-5.264700169,0.641132963,0.9668307324238811,0.8460293574467502,0.8452511532626595,1.0028253778750897,0.8750542665574427,0.9641067664966498,0.8436457394401684,0.8200738022788056,0.9987280567059242,1.337234795741585,1.0000299059774957,0.9972299067823689,0.9982769714961266,0.9528483393156528,0.9043771400735617,0.9076194107896512,0.9082877272138097,1.264301247543598,1.5984576445402987,1.3841572014643064,1.5118928759442856,1.444876929695773,0.27019024820461135,1.1944835051197675,1.2382749312796109,0.1855448987129844,-0.061522506,1.2642597942632643,1.3841572014643064,1.444876929695773,1.237740556805207,1.0948360516938012,1.0214255219435047,1.1182934855422075,1.1307712936007528,1.0056908811320788,0.8851843013531051,1.0890989172763696,0.9424260785022537,0.34977299319747107,0.8979631801664887,1.1173640319087181,1.3265526980141158,1.4522926958382762,0.7705769971821964,0.5937889085863308,0.4818826038253494,0.3715816298059932,0.4247780537293425,1.9555555555555557,0.8492567434534356,0.8112921000364812,0.7165008703741973,0.004206235,0.7707641532137333,0.44890348021800186,0.4247780537293425,0.8114410554277804,0.5824135416028081,0.9498707861163375,0.5532176086123614,0.5446784808789231,0.9987280567059242,1.0271138157593416,1.0229417561140817,1.1198841862509068,1.0992489970295054,1.330611661689638,1.0586723800718936,0.6226516745016188
10,746,1.4767574534682562,0.9900008766144939,0.9801017356974663,0.9175630995221398,0.9202547230468269,0.9189140569131731,1.5827464788732393,1.1182948543384255,1.0217258666776512,-24.30241001,1.0589289912041029,0.9900511506335303,0.9202547230468269,0.9189140569131731,1.0217696880252918,0.9295022004245329,0.9689572535150723,0.9006478992596889,0.8620899222584424,1.0003530498071804,1.0734958143039182,1.0205495135534461,0.9907032231447453,0.8834186815905734,1.0212191635120673,1.0224719444781474,0.9796078528058743,0.9092183446722509,1.1819568437588268,1.397021980508328,1.5129771566328474,1.9856512685129237,1.7376649248092033,0.35794380748393606,1.1324809246990717,1.1613832320800894,0.29302523281610543,-0.169311245,1.181924157399459,1.7990972617095167,1.7376649248092033,1.1609339768970577,1.522176571523855,1.0180804256930671,1.5496981719152858,1.5647041149542151,1.0045992665065884,0.848123158,1.0954269961453555,0.952706768,0.2579968735199666,0.9457019133892893,1.1584581178809208,1.2626708473026749,0.9235861171897201,0.8154347117215005,0.6649337690803268,0.7397372693019607,0.5950410148620747,0.6648257412413199,1.111111111111111,0.8798237842094901,0.8512472037102292,-10.558362,0.088549378,0.815456666,0.6891110656423801,0.6648257412413199,0.8512720408710354,0.8450615397980415,0.9579272273022101,0.8095074577243775,0.7995214271199759,1.0003530498071804,0.7304810306617731,1.0501161100447116,1.1058950466578132,0.9251434641894039,1.4435286799152651,1.0186191326509126,0.7038898563604001
